"","vS1","vS2"
"16696","9606.ENSP00000303427","9606.ENSP00000327694"
"16703","9606.ENSP00000358777","9606.ENSP00000300692"
"16704","9606.ENSP00000300692","9606.ENSP00000327694"
"16711","9606.ENSP00000358777","9606.ENSP00000294507"
"16712","9606.ENSP00000294507","9606.ENSP00000327694"
"16719","9606.ENSP00000358777","9606.ENSP00000292807"
"16720","9606.ENSP00000292807","9606.ENSP00000327694"
"16727","9606.ENSP00000358777","9606.ENSP00000290158"
"16728","9606.ENSP00000290158","9606.ENSP00000327694"
"16735","9606.ENSP00000358777","9606.ENSP00000285393"
"16736","9606.ENSP00000285393","9606.ENSP00000327694"
"16743","9606.ENSP00000358777","9606.ENSP00000276390"
"16744","9606.ENSP00000276390","9606.ENSP00000327694"
"16751","9606.ENSP00000358777","9606.ENSP00000275493"
"16752","9606.ENSP00000275493","9606.ENSP00000327694"
"16759","9606.ENSP00000358777","9606.ENSP00000273047"
"16760","9606.ENSP00000273047","9606.ENSP00000327694"
"16767","9606.ENSP00000358777","9606.ENSP00000265686"
"16768","9606.ENSP00000265686","9606.ENSP00000327694"
"16775","9606.ENSP00000358777","9606.ENSP00000265094"
"16776","9606.ENSP00000265094","9606.ENSP00000327694"
"16783","9606.ENSP00000358777","9606.ENSP00000265062"
"16784","9606.ENSP00000265062","9606.ENSP00000327694"
"16791","9606.ENSP00000358777","9606.ENSP00000264649"
"16792","9606.ENSP00000264649","9606.ENSP00000327694"
"16799","9606.ENSP00000358777","9606.ENSP00000264079"
"16800","9606.ENSP00000264079","9606.ENSP00000327694"
"16807","9606.ENSP00000358777","9606.ENSP00000264028"
"16808","9606.ENSP00000264028","9606.ENSP00000327694"
"16815","9606.ENSP00000358777","9606.ENSP00000263431"
"16816","9606.ENSP00000263431","9606.ENSP00000327694"
"16823","9606.ENSP00000358777","9606.ENSP00000258301"
"16824","9606.ENSP00000258301","9606.ENSP00000327694"
"16831","9606.ENSP00000358777","9606.ENSP00000255194"
"16832","9606.ENSP00000255194","9606.ENSP00000327694"
"16839","9606.ENSP00000358777","9606.ENSP00000254950"
"16840","9606.ENSP00000254950","9606.ENSP00000327694"
"16847","9606.ENSP00000358777","9606.ENSP00000249923"
"16848","9606.ENSP00000249923","9606.ENSP00000327694"
"16855","9606.ENSP00000358777","9606.ENSP00000247461"
"16856","9606.ENSP00000247461","9606.ENSP00000327694"
"16863","9606.ENSP00000358777","9606.ENSP00000245157"
"16864","9606.ENSP00000245157","9606.ENSP00000327694"
"16871","9606.ENSP00000358777","9606.ENSP00000236671"
"16872","9606.ENSP00000236671","9606.ENSP00000327694"
"16879","9606.ENSP00000358777","9606.ENSP00000236192"
"16880","9606.ENSP00000236192","9606.ENSP00000327694"
"16887","9606.ENSP00000358777","9606.ENSP00000222547"
"16888","9606.ENSP00000222547","9606.ENSP00000327694"
"16895","9606.ENSP00000358777","9606.ENSP00000220509"
"16896","9606.ENSP00000220509","9606.ENSP00000327694"
"16903","9606.ENSP00000358777","9606.ENSP00000216442"
"16904","9606.ENSP00000216442","9606.ENSP00000327694"
"16911","9606.ENSP00000358777","9606.ENSP00000216366"
"16912","9606.ENSP00000216366","9606.ENSP00000327694"
"16919","9606.ENSP00000358777","9606.ENSP00000011653"
"16920","9606.ENSP00000011653","9606.ENSP00000327694"
"16927","9606.ENSP00000327694","9606.ENSP00000479488"
"16928","9606.ENSP00000479488","9606.ENSP00000248114"
"16935","9606.ENSP00000327694","9606.ENSP00000467176"
"16936","9606.ENSP00000467176","9606.ENSP00000248114"
"16943","9606.ENSP00000327694","9606.ENSP00000465099"
"16944","9606.ENSP00000465099","9606.ENSP00000248114"
"16951","9606.ENSP00000327694","9606.ENSP00000462468"
"16952","9606.ENSP00000462468","9606.ENSP00000248114"
"16959","9606.ENSP00000327694","9606.ENSP00000450614"
"16960","9606.ENSP00000450614","9606.ENSP00000248114"
"16967","9606.ENSP00000327694","9606.ENSP00000449089"
"16968","9606.ENSP00000449089","9606.ENSP00000248114"
"16975","9606.ENSP00000327694","9606.ENSP00000429986"
"16976","9606.ENSP00000429986","9606.ENSP00000248114"
"16983","9606.ENSP00000327694","9606.ENSP00000420617"
"16984","9606.ENSP00000420617","9606.ENSP00000248114"
"16991","9606.ENSP00000327694","9606.ENSP00000407586"
"16992","9606.ENSP00000407586","9606.ENSP00000248114"
"16999","9606.ENSP00000327694","9606.ENSP00000378830"
"17000","9606.ENSP00000378830","9606.ENSP00000248114"
"17007","9606.ENSP00000327694","9606.ENSP00000369703"
"17008","9606.ENSP00000369703","9606.ENSP00000248114"
"17015","9606.ENSP00000327694","9606.ENSP00000369666"
"17016","9606.ENSP00000369666","9606.ENSP00000248114"
"17023","9606.ENSP00000327694","9606.ENSP00000369081"
"17024","9606.ENSP00000369081","9606.ENSP00000248114"
"17031","9606.ENSP00000327694","9606.ENSP00000367629"
"17032","9606.ENSP00000367629","9606.ENSP00000248114"
"17039","9606.ENSP00000327694","9606.ENSP00000362680"
"17040","9606.ENSP00000362680","9606.ENSP00000248114"
"17047","9606.ENSP00000327694","9606.ENSP00000361021"
"17048","9606.ENSP00000361021","9606.ENSP00000248114"
"17055","9606.ENSP00000327694","9606.ENSP00000360645"
"17056","9606.ENSP00000360645","9606.ENSP00000248114"
"17063","9606.ENSP00000327694","9606.ENSP00000360108"
"17064","9606.ENSP00000360108","9606.ENSP00000248114"
"17071","9606.ENSP00000327694","9606.ENSP00000355388"
"17072","9606.ENSP00000355388","9606.ENSP00000248114"
"17079","9606.ENSP00000327694","9606.ENSP00000355026"
"17080","9606.ENSP00000355026","9606.ENSP00000248114"
"17087","9606.ENSP00000327694","9606.ENSP00000354681"
"17088","9606.ENSP00000354681","9606.ENSP00000248114"
"17095","9606.ENSP00000327694","9606.ENSP00000354251"
"17096","9606.ENSP00000354251","9606.ENSP00000248114"
"17103","9606.ENSP00000327694","9606.ENSP00000348828"
"17104","9606.ENSP00000348828","9606.ENSP00000248114"
"17111","9606.ENSP00000327694","9606.ENSP00000348510"
"17112","9606.ENSP00000348510","9606.ENSP00000248114"
"17119","9606.ENSP00000327694","9606.ENSP00000320949"
"17120","9606.ENSP00000320949","9606.ENSP00000248114"
"17127","9606.ENSP00000327694","9606.ENSP00000315130"
"17128","9606.ENSP00000315130","9606.ENSP00000248114"
"17135","9606.ENSP00000327694","9606.ENSP00000314499"
"17136","9606.ENSP00000314499","9606.ENSP00000248114"
"17143","9606.ENSP00000327694","9606.ENSP00000310491"
"17144","9606.ENSP00000310491","9606.ENSP00000248114"
"17151","9606.ENSP00000327694","9606.ENSP00000309539"
"17152","9606.ENSP00000309539","9606.ENSP00000248114"
"17159","9606.ENSP00000327694","9606.ENSP00000302961"
"17160","9606.ENSP00000302961","9606.ENSP00000248114"
"17167","9606.ENSP00000327694","9606.ENSP00000297185"
"17168","9606.ENSP00000297185","9606.ENSP00000248114"
"17175","9606.ENSP00000327694","9606.ENSP00000270747"
"17176","9606.ENSP00000270747","9606.ENSP00000248114"
"17183","9606.ENSP00000327694","9606.ENSP00000266987"
"17184","9606.ENSP00000266987","9606.ENSP00000248114"
"17191","9606.ENSP00000327694","9606.ENSP00000265171"
"17192","9606.ENSP00000265171","9606.ENSP00000248114"
"17199","9606.ENSP00000327694","9606.ENSP00000264051"
"17200","9606.ENSP00000264051","9606.ENSP00000248114"
"17207","9606.ENSP00000327694","9606.ENSP00000263270"
"17208","9606.ENSP00000263270","9606.ENSP00000248114"
"17215","9606.ENSP00000327694","9606.ENSP00000262812"
"17216","9606.ENSP00000262812","9606.ENSP00000248114"
"17223","9606.ENSP00000327694","9606.ENSP00000262643"
"17224","9606.ENSP00000262643","9606.ENSP00000248114"
"17231","9606.ENSP00000327694","9606.ENSP00000260408"
"17232","9606.ENSP00000260408","9606.ENSP00000248114"
"17239","9606.ENSP00000327694","9606.ENSP00000235329"
"17240","9606.ENSP00000235329","9606.ENSP00000248114"
"17247","9606.ENSP00000327694","9606.ENSP00000215567"
"17248","9606.ENSP00000215567","9606.ENSP00000248114"
"17255","9606.ENSP00000327694","9606.ENSP00000199447"
"17256","9606.ENSP00000199447","9606.ENSP00000248114"
"17263","9606.ENSP00000248114","9606.ENSP00000483494"
"17264","9606.ENSP00000483494","9606.ENSP00000218516"
"17271","9606.ENSP00000248114","9606.ENSP00000469981"
"17272","9606.ENSP00000469981","9606.ENSP00000218516"
"17279","9606.ENSP00000248114","9606.ENSP00000457513"
"17280","9606.ENSP00000457513","9606.ENSP00000218516"
"17287","9606.ENSP00000248114","9606.ENSP00000452762"
"17288","9606.ENSP00000452762","9606.ENSP00000218516"
